dataset,task,variant,seed,source_kind,source_priority,source_path,accuracy,micro_f1,macro_f1,weighted_f1,roc_auc,average_precision,log_loss,mrr,rmse,mae,r2
rel-ratebeer,user-churn,dfs,44,task_root,0,results/rel-ratebeer_user-churn_tabpfn/dfs/seed44/metrics.csv,0.709,,,,0.7808498063367995,0.8460691762836234,0.5768473743502832,,,,
rel-ratebeer,user-churn,fdhg,41,task_root,0,results/rel-ratebeer_user-churn_tabpfn/fdhg_dmax1/seed41/metrics.csv,0.709,,,,0.7807554827622304,0.8456525410854936,0.5753258565903474,,,,
rel-ratebeer,user-churn,fdhg,42,task_root,0,results/rel-ratebeer_user-churn_tabpfn/fdhg_dmax1/seed42/metrics.csv,0.709,,,,0.7804163540721614,0.8419875362862241,0.5758927314816676,,,,
rel-ratebeer,user-churn,fdhg,43,task_root,0,results/rel-ratebeer_user-churn_tabpfn/fdhg_dmax1/seed43/metrics.csv,0.706,,,,0.7803105808151302,0.845312572739016,0.5761740737909801,,,,
rel-ratebeer,user-churn,fdhg,44,task_root,0,results/rel-ratebeer_user-churn_tabpfn/fdhg_dmax1/seed44/metrics.csv,0.7055,,,,0.7792670240421522,0.8445015697197051,0.5777056518290183,,,,
rel-ratebeer,user-count,dfs,41,task_root,0,results/rel-ratebeer_user-count_tabpfn/dfs/seed41/metrics.csv,,,,,,,,,43.2568739968288,13.679287429094314,0.3005205663130462
rel-ratebeer,user-count,dfs,42,task_root,0,results/rel-ratebeer_user-count_tabpfn/dfs/seed42/metrics.csv,,,,,,,,,43.25683396695997,13.622841018602251,0.3005218609076127
rel-ratebeer,user-count,dfs,43,task_root,0,results/rel-ratebeer_user-count_tabpfn/dfs/seed43/metrics.csv,,,,,,,,,43.2711234785932,13.601754936240614,0.3000596517719924
rel-ratebeer,user-count,dfs,44,task_root,0,results/rel-ratebeer_user-count_tabpfn/dfs/seed44/metrics.csv,,,,,,,,,43.268118777388864,13.665382786288855,0.3001568546370577
rel-ratebeer,user-count,fdhg,41,task_root,0,results/rel-ratebeer_user-count_tabpfn/fdhg_dmax1/seed41/metrics.csv,,,,,,,,,41.639127351248185,13.145522446498276,0.3518613424707233
rel-ratebeer,user-count,fdhg,42,task_root,0,results/rel-ratebeer_user-count_tabpfn/fdhg_dmax1/seed42/metrics.csv,,,,,,,,,41.49370293140522,13.067795583441852,0.3563806780752319
rel-ratebeer,user-count,fdhg,43,task_root,0,results/rel-ratebeer_user-count_tabpfn/fdhg_dmax1/seed43/metrics.csv,,,,,,,,,41.77317949772564,13.05533598010242,0.3476814164886519
rel-ratebeer,user-count,fdhg,44,task_root,0,results/rel-ratebeer_user-count_tabpfn/fdhg_dmax1/seed44/metrics.csv,,,,,,,,,41.67109869177757,12.964287450924516,0.350865653157561
rel-salt,item-incoterms,dfs,41,task_root,0,results/rel-salt_item-incoterms_tabpfn/dfs/seed41/metrics.csv,0.689,0.689,0.1377316599907115,0.602029662138724,,,1.0890103336071906,0.7953035714285713,,,
rel-salt,item-incoterms,dfs,42,task_root,0,results/rel-salt_item-incoterms_tabpfn/dfs/seed42/metrics.csv,0.689,0.689,0.137836754241577,0.6020016823451789,,,1.0914563581168073,0.7954154761904761,,,
rel-salt,item-incoterms,dfs,43,task_root,0,results/rel-salt_item-incoterms_tabpfn/dfs/seed43/metrics.csv,0.6935,0.6935,0.1456678908152086,0.6122666399494501,,,1.0860221097203608,0.797652380952381,,,
rel-salt,item-incoterms,dfs,44,task_root,0,results/rel-salt_item-incoterms_tabpfn/dfs/seed44/metrics.csv,0.6935,0.6935,0.1456678908152086,0.6122666399494501,,,1.0900313737360352,0.7975940476190476,,,
rel-salt,item-incoterms,fdhg,41,task_root,0,results/rel-salt_item-incoterms_tabpfn/fdhg_dmax1/seed41/metrics.csv,0.6995,0.6995,0.2389045870508097,0.6332215805593032,,,1.038695362310755,0.806609126984127,,,
rel-salt,item-incoterms,fdhg,42,task_root,0,results/rel-salt_item-incoterms_tabpfn/fdhg_dmax1/seed42/metrics.csv,0.699,0.699,0.2381893593019129,0.6320185139576281,,,1.044251926831957,0.8058640873015872,,,
rel-salt,item-incoterms,fdhg,43,task_root,0,results/rel-salt_item-incoterms_tabpfn/fdhg_dmax1/seed43/metrics.csv,0.6905,0.6905,0.2374138556055975,0.6289975615862107,,,1.0561370520955922,0.8028490079365079,,,
rel-salt,item-incoterms,fdhg,44,task_root,0,results/rel-salt_item-incoterms_tabpfn/fdhg_dmax1/seed44/metrics.csv,0.6865,0.6865,0.2322416428163072,0.6212657066951249,,,1.0454107061924145,0.8003113095238096,,,
rel-salt,item-plant,dfs,41,task_root,0,results/rel-salt_item-plant_tabpfn/dfs/seed41/metrics.csv,0.9639097744360904,0.9639097744360904,0.7447025368782315,0.9603053802172484,,,0.1555910148305875,0.9746318176393364,,,
rel-salt,item-plant,dfs,42,task_root,0,results/rel-salt_item-plant_tabpfn/dfs/seed42/metrics.csv,0.9689223057644112,0.9689223057644112,0.7744019055928318,0.9642886799735444,,,0.1625184390297991,0.9761308031984725,,,
rel-salt,item-plant,dfs,43,task_root,0,results/rel-salt_item-plant_tabpfn/dfs/seed43/metrics.csv,0.9674185463659148,0.9674185463659148,0.7802248657758647,0.9628131121777994,,,0.1433924455385311,0.9760401002506264,,,
