dataset,task,task_type,comparison_scope,gate_mode,primary_metric,secondary_metric,seed,base_primary_score,candidate_primary_score,primary_improvement,secondary_improvement,seed_pass,base_source,candidate_source
rel-salt,item-shippoint,multiclass_classification,dfs_vs_fdhg,single_metric,accuracy,,41,0.7447342026078235,0.8269809428284854,0.08224674022066192,,True,results/rel-salt_item-shippoint_tabpfn/dfs/seed41/metrics.csv,results/rel-salt_item-shippoint_tabpfn/fdhg_dmax1/seed41/metrics.csv
rel-salt,item-shippoint,multiclass_classification,dfs_vs_fdhg,single_metric,accuracy,,42,0.7627883650952858,0.8234704112337011,0.060682046138415324,,True,results/rel-salt_item-shippoint_tabpfn/dfs/seed42/metrics.csv,results/rel-salt_item-shippoint_tabpfn/fdhg_dmax1/seed42/metrics.csv
rel-salt,item-shippoint,multiclass_classification,dfs_vs_fdhg,single_metric,accuracy,,43,0.7477432296890673,0.8294884653961886,0.08174523570712133,,True,results/rel-salt_item-shippoint_tabpfn/dfs/seed43/metrics.csv,results/rel-salt_item-shippoint_tabpfn/fdhg_dmax1/seed43/metrics.csv
rel-salt,item-shippoint,multiclass_classification,dfs_vs_fdhg,single_metric,accuracy,,44,0.7477432296890673,0.802407221664995,0.05466399197592775,,True,results/rel-salt_item-shippoint_tabpfn/dfs/seed44/metrics.csv,results/rel-salt_item-shippoint_tabpfn/fdhg_dmax1/seed44/metrics.csv
rel-salt,sales-group,multiclass_classification,dfs_vs_fdhg,single_metric,accuracy,,41,0.0775193798449612,0.0806201550387596,0.003100775193798408,,True,results/rel-salt_sales-group_catboost/dfs/seed41/metrics.csv,results/rel-salt_sales-group_catboost/fdhg_dmax1/seed41/metrics.csv
rel-salt,sales-group,multiclass_classification,dfs_vs_fdhg,single_metric,accuracy,,42,0.0775193798449612,0.0806201550387596,0.003100775193798408,,True,results/rel-salt_sales-group_catboost/dfs/seed42/metrics.csv,results/rel-salt_sales-group_catboost/fdhg_dmax1/seed42/metrics.csv
rel-salt,sales-group,multiclass_classification,dfs_vs_fdhg,single_metric,accuracy,,43,0.0775193798449612,0.0806201550387596,0.003100775193798408,,True,results/rel-salt_sales-group_catboost/dfs/seed43/metrics.csv,results/rel-salt_sales-group_catboost/fdhg_dmax1/seed43/metrics.csv
rel-salt,sales-group,multiclass_classification,dfs_vs_fdhg,single_metric,accuracy,,44,0.0775193798449612,0.0806201550387596,0.003100775193798408,,True,results/rel-salt_sales-group_catboost/dfs/seed44/metrics.csv,results/rel-salt_sales-group_catboost/fdhg_dmax1/seed44/metrics.csv
rel-salt,sales-incoterms,multiclass_classification,dfs_vs_fdhg,single_metric,accuracy,,41,0.592,0.597,0.0050000000000000044,,True,results/rel-salt_sales-incoterms_tabpfn/dfs/seed41/metrics.csv,results/rel-salt_sales-incoterms_tabpfn/fdhg_dmax1/seed41/metrics.csv
rel-salt,sales-incoterms,multiclass_classification,dfs_vs_fdhg,single_metric,accuracy,,42,0.592,0.597,0.0050000000000000044,,True,results/rel-salt_sales-incoterms_tabpfn/dfs/seed42/metrics.csv,results/rel-salt_sales-incoterms_tabpfn/fdhg_dmax1/seed42/metrics.csv
rel-salt,sales-incoterms,multiclass_classification,dfs_vs_fdhg,single_metric,accuracy,,43,0.592,0.597,0.0050000000000000044,,True,results/rel-salt_sales-incoterms_tabpfn/dfs/seed43/metrics.csv,results/rel-salt_sales-incoterms_tabpfn/fdhg_dmax1/seed43/metrics.csv
rel-salt,sales-incoterms,multiclass_classification,dfs_vs_fdhg,single_metric,accuracy,,44,0.592,0.597,0.0050000000000000044,,True,results/rel-salt_sales-incoterms_tabpfn/dfs/seed44/metrics.csv,results/rel-salt_sales-incoterms_tabpfn/fdhg_dmax1/seed44/metrics.csv
