dataset,task,variant,seed,model,split,n_train,n_val,n_features,feature_budget,dmax,uses_afd,uses_ambiguity,uses_dmax2,uses_supervised_ranker,is_fdhg_fallback,accuracy,roc_auc,average_precision,log_loss,runtime_sec,feature_path,result_path,status,failure_reason
rel-amazon,item-churn,fdhg_dmax1_shuffle_ambiguity,43,tabpfn,val,,,32,,1,True,True,False,False,False,0.6455,0.7302765607690748,0.6118474650425567,0.6476418422459397,,,results/phase2_relbench/rel-amazon_item-churn_shuffle_ambiguity_seed43_fdhg/dfs_agg_rel-amazon_item-churn_tabpfn_seed43.json,ok,
rel-amazon,item-churn,fdhg_dmax1_shuffle_ambiguity,44,tabpfn,val,,,32,,1,True,True,False,False,False,0.679,0.7723290023373413,0.6491914572496402,0.589372569458148,,,results/phase2_relbench/rel-amazon_item-churn_shuffle_ambiguity_seed44_fdhg/dfs_agg_rel-amazon_item-churn_tabpfn_seed44.json,ok,
rel-amazon,item-churn,naive,41,tabpfn,val,,,21,,,False,False,False,False,False,0.6215,0.6840512935809108,0.5695369138745547,0.6446349477443943,,,results/naive_flatten/dfs_agg_rel-amazon_item-churn_tabpfn_seed41.json,ok,
rel-amazon,item-churn,naive,41,tabpfn,val,,,19,,,False,False,False,False,False,0.6255,0.6852457552210858,0.5700563818007865,0.6431594454839928,,,results/phase2_relbench/phase2_main_runs.csv,ok,
rel-amazon,item-churn,naive,41,tabpfn,val,,,21,,,False,False,False,False,False,0.6215,0.6840512935809108,0.5695369138745547,0.6446349477443943,,,results/phase2_relbench/rel-amazon_item-churn_naive/dfs_agg_rel-amazon_item-churn_tabpfn_seed41.json,ok,
rel-amazon,item-churn,naive,42,tabpfn,val,,,19,,,False,False,False,False,False,0.631,0.6846872780407827,0.5645325411982625,0.6354347408035148,,,results/phase2_relbench/phase2_main_runs.csv,ok,
rel-amazon,item-churn,naive,43,tabpfn,val,,,19,,,False,False,False,False,False,0.6025,0.6510261090405827,0.5674182305531265,0.6464457936354159,,,results/phase2_relbench/phase2_main_runs.csv,ok,
rel-amazon,item-churn,naive,44,tabpfn,val,,,19,,,False,False,False,False,False,0.627,0.6818104330037505,0.5542302092851948,0.6334149361514593,,,results/phase2_relbench/phase2_main_runs.csv,ok,
rel-amazon,item-churn,target_only,41,tabpfn,val,,,15,,,False,False,False,False,False,0.5505,0.5899417978541602,0.494174602639038,0.6798111286290894,,,results/phase2_relbench/phase2_main_runs.csv,ok,
rel-amazon,item-churn,target_only,41,tabpfn,val,,,15,,,False,False,False,False,False,0.5505,0.5899417978541602,0.494174602639038,0.6798111286290894,,,results/week1/target_only_rel-amazon_item-churn_tabpfn_seed41.json,ok,
rel-amazon,item-churn,target_only,42,tabpfn,val,,,15,,,False,False,False,False,False,0.548,0.5501318660625694,0.43422485808021516,0.6763894903514169,,,results/week1/target_only_rel-amazon_item-churn_tabpfn_seed42.json,ok,
rel-amazon,item-churn,target_only,43,tabpfn,val,,,15,,,False,False,False,False,False,0.577,0.6002147049737411,0.48235300147489096,0.6674289133057085,,,results/week1/target_only_rel-amazon_item-churn_tabpfn_seed43.json,ok,
rel-amazon,item-churn,target_only,44,tabpfn,val,,,15,,,False,False,False,False,False,0.5685,0.5814136087413814,0.45915060201921853,0.6766965983100107,,,results/week1/target_only_rel-amazon_item-churn_tabpfn_seed44.json,ok,
rel-amazon,item-ltv,target_only,41,tabpfn,val,,,15,,,False,False,False,False,False,,,,,,,results/week1/target_only_rel-amazon_item-ltv_tabpfn_seed41.json,failed,
rel-amazon,user-churn,dfs,41,tabpfn,val,,,10,,1,False,False,False,False,False,0.6945,0.653260664354773,0.7429476562904577,0.6100920670923665,,,results/phase2_relbench/rel-amazon_user-churn_dfs/dfs_agg_rel-amazon_user-churn_tabpfn_seed41.json,ok,
rel-amazon,user-churn,dfs,41,tabpfn,val,,,10,,1,False,True,False,False,False,0.6945,0.653260664354773,0.7429476562904577,0.6100920670923665,,,results/phase2_relbench/rel-amazon_user-churn_fdhg/dfs_agg_rel-amazon_user-churn_tabpfn_seed41.json,ok,
rel-amazon,user-churn,dfs,42,tabpfn,val,,,10,,1,False,False,False,False,False,0.6705,0.6240685837225166,0.7098314682525458,0.6205777297261622,,,results/phase2_main_missing_general/rel-amazon_user-churn_dfs/dfs_agg_rel-amazon_user-churn_tabpfn_seed42.json,ok,
rel-amazon,user-churn,dfs,42,tabpfn,val,,,10,,1,False,True,False,False,False,0.6705,0.6240685837225166,0.7098314682525458,0.6205777297261622,,,results/phase2_main_missing_general/rel-amazon_user-churn_fdhg/dfs_agg_rel-amazon_user-churn_tabpfn_seed42.json,ok,
rel-amazon,user-churn,dfs,43,tabpfn,val,,,10,,1,False,False,False,False,False,0.6815,0.6215435112847221,0.7132375620873699,0.6234072219365637,,,results/phase2_main_missing_general/rel-amazon_user-churn_dfs/dfs_agg_rel-amazon_user-churn_tabpfn_seed43.json,ok,
rel-amazon,user-churn,dfs,43,tabpfn,val,,,10,,1,False,True,False,False,False,0.6815,0.6215435112847221,0.7132375620873699,0.6234072219365637,,,results/phase2_main_missing_general/rel-amazon_user-churn_fdhg/dfs_agg_rel-amazon_user-churn_tabpfn_seed43.json,ok,
rel-amazon,user-churn,dfs,44,tabpfn,val,,,10,,1,False,False,False,False,False,0.683,0.6687349892967159,0.7523550084589775,0.6067352598308279,,,results/phase2_main_missing_general/rel-amazon_user-churn_dfs/dfs_agg_rel-amazon_user-churn_tabpfn_seed44.json,ok,
rel-amazon,user-churn,dfs,44,tabpfn,val,,,10,,1,False,True,False,False,False,0.683,0.6687349892967159,0.7523550084589775,0.6067352598308279,,,results/phase2_main_missing_general/rel-amazon_user-churn_fdhg/dfs_agg_rel-amazon_user-churn_tabpfn_seed44.json,ok,
rel-amazon,user-churn,naive,41,tabpfn,val,,,5,,,False,False,False,False,False,0.676,0.6182344816621786,0.7318426403587432,0.6249899047171312,,,results/phase2_relbench/rel-amazon_user-churn_naive/dfs_agg_rel-amazon_user-churn_tabpfn_seed41.json,ok,
rel-amazon,user-churn,naive,42,tabpfn,val,,,5,,,False,False,False,False,False,0.653,0.607932233999755,0.7189028456258015,0.6327271444604966,,,results/phase2_main_missing_general/rel-amazon_user-churn_naive/dfs_agg_rel-amazon_user-churn_tabpfn_seed42.json,ok,
rel-amazon,user-churn,naive,43,tabpfn,val,,,5,,,False,False,False,False,False,0.6415,0.6001627604166666,0.7049372889970885,0.6395709761120304,,,results/phase2_main_missing_general/rel-amazon_user-churn_naive/dfs_agg_rel-amazon_user-churn_tabpfn_seed43.json,ok,
rel-amazon,user-churn,naive,44,tabpfn,val,,,5,,,False,False,False,False,False,0.6495,0.62934059503298,0.7399425079018194,0.6305100950723971,,,results/phase2_main_missing_general/rel-amazon_user-churn_naive/dfs_agg_rel-amazon_user-churn_tabpfn_seed44.json,ok,
rel-amazon,user-churn,target_only,41,tabpfn,val,,,1,,,False,False,False,False,False,0.6335,0.4845640893668752,0.6269651592385237,0.6572814257517727,,,results/week1/target_only_rel-amazon_user-churn_tabpfn_seed41.json,ok,
rel-amazon,user-churn,target_only,42,tabpfn,val,,,1,,,False,False,False,False,False,0.641,0.5116651601997227,0.6485376991636266,0.652906811394896,,,results/week1/target_only_rel-amazon_user-churn_tabpfn_seed42.json,ok,
rel-amazon,user-churn,target_only,43,tabpfn,val,,,1,,,False,False,False,False,False,0.642,0.5026578734401921,0.6444158476773287,0.6521792343797315,,,results/week1/target_only_rel-amazon_user-churn_tabpfn_seed43.json,ok,
rel-amazon,user-churn,target_only,44,tabpfn,val,,,1,,,False,False,False,False,False,0.6575,0.5027703921623047,0.6655570955208601,0.6442273570951454,,,results/week1/target_only_rel-amazon_user-churn_tabpfn_seed44.json,ok,
rel-amazon,user-ltv,target_only,41,tabpfn,val,,,1,,,False,False,False,False,False,,,,,,,results/week1/target_only_rel-amazon_user-ltv_tabpfn_seed41.json,failed,
rel-avito,ad-ctr,target_only,41,tabpfn,val,,,5,,,False,False,False,False,False,,,,,,,results/week1/target_only_rel-avito_ad-ctr_tabpfn_seed41.json,failed,
rel-avito,user-clicks,dfs,41,tabpfn,val,,,13,,1,False,False,False,False,False,0.9715,0.5944370705456384,0.060623230811714,0.1283613493208194,,,results/phase2_relbench_explicit_fixed/phase2_main_runs.csv,ok,
